2020-02-16/16:36:58		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:18		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:19		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:20		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:21		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:22		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:23		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:24		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:25		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:26		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:27		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:28		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:29		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:30		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:31		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:32		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:33		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:34		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:35		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:36		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:37		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:37		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:37		 phising_08012020_120000.csv: File loaded successfully!!
